Restaurant Name;Country Code;City
Le Petit Souffle;162;Makati City
Izakaya Kikufuji;162;Makati City
Heat - Edsa Shangri-La;162;Mandaluyong City
Ooma;162;Mandaluyong City
Sambo Kojin;162;Mandaluyong City
Din Tai Fung;162;Mandaluyong City
Buffet 101;162;Pasay City
Vikings;162;Pasay City
Spiral - Sofitel Philippine Plaza Manila;162;Pasay City
Locavore;162;Pasig City
Silantro Fil-Mex;162;Pasig City
Mad Mark's Creamery & Good Eats;162;Pasig City
Silantro Fil-Mex;162;Quezon City
Guevarra's;162;San Juan City
Sodam Korean Restaurant;162;San Juan City
Cafe Arabelle;162;Santa Rosa
Nonna's Pasta & Pizzeria;162;Santa Rosa
Balay Dako;162;Tagaytay City
Hobing Korean Dessert Cafe;162;Taguig City
Wildflour Cafe + Bakery;162;Taguig City
NIU by Vikings;162;Taguig City
The Food Hall by Todd English;162;Taguig City
Chez Michou;30;Brasн_lia
Cafн© Daniel Briand;30;Brasн_lia
Casa do Biscoito Mineiro;30;Brasн_lia
Maori;30;Brasн_lia
Pizza нж Bessa;30;Brasн_lia
Sushi Loko;30;Brasн_lia
Beirute;30;Brasн_lia
New Koto;30;Brasн_lia
Sandubas Cafн©;30;Brasн_lia
Villa Tevere;30;Brasн_lia
Rovereto;30;Brasн_lia
Buena Carne;30;Brasн_lia
Taco Pep;30;Brasн_lia
Coco Bambu;30;Brasн_lia
Taypнз;30;Brasн_lia
Outback Steakhouse;30;Brasн_lia
Manzuнз;30;Brasн_lia
Coco Bambu;30;Brasн_lia
Gero;30;Brasн_lia
Brazilian American Burgers;30;Brasн_lia
Pesqueiro Eco Gourmet;30;Rio de Janeiro
Confeitaria Colombo;30;Rio de Janeiro
Bibi;30;Rio de Janeiro
Cervantes;30;Rio de Janeiro
Amir;30;Rio de Janeiro
TT Burger;30;Rio de Janeiro
Braseiro da Gнзvea;30;Rio de Janeiro
Balada Mix;30;Rio de Janeiro
Garota de Ipanema;30;Rio de Janeiro
Zazнз BistrнЗ Tropical;30;Rio de Janeiro
Filн© de Ouro;30;Rio de Janeiro
D.O.C Ristorante;30;Rio de Janeiro
Sushi Leblon;30;Rio de Janeiro
Talho Capixaba;30;Rio de Janeiro
Leme Light;30;Rio de Janeiro
Shirley;30;Rio de Janeiro
Quiosque Chopp Brahma;30;Rio de Janeiro
Aprazн_vel;30;Rio de Janeiro
Aconchego Carioca;30;Rio de Janeiro
Garota de Ipanema;30;Rio de Janeiro
Cantina Famiglia Mancini;30;SнЈo Paulo
Templo da Carne - Marcos Bassi;30;SнЈo Paulo
Gopala Hari;30;SнЈo Paulo
Jiquitaia;30;SнЈo Paulo
Skye - Hotel Unique;30;SнЈo Paulo
Les 3 Brasseurs;30;SнЈo Paulo
Red Steak & Burger;30;SнЈo Paulo
Cantinho da Gula;30;SнЈo Paulo
Paris 6 Classique;30;SнЈo Paulo
Kawa Sushi;30;SнЈo Paulo
A Figueira Rubaiyat;30;SнЈo Paulo
Kinoshita;30;SнЈo Paulo
Meats;30;SнЈo Paulo
Paribar;30;SнЈo Paulo
Terraн_o Itнзlia;30;SнЈo Paulo
Divino FogнЈo;30;SнЈo Paulo
Super Grill;30;SнЈo Paulo
Esquina Mocotн_;30;SнЈo Paulo
Veloso;30;SнЈo Paulo
Sainte Marie Gastronomia;30;SнЈo Paulo
Austin's BBQ and Oyster Bar;216;Albany
BJ's Country Buffet;216;Albany
Cookie Shoppe;216;Albany
El Vaquero Mexican Restaurant;216;Albany
Elements Coffee Co - Northwest;216;Albany
Pearly's Famous Country Cookng;216;Albany
Chick-fil-A;216;Albany
Guang Zhou Chinese Restaurant;216;Albany
Harvest Moon;216;Albany
Henry Campbell's Steakhouse;216;Albany
Hong Kong Cafe;216;Albany
House of China Restaurant II;216;Albany
Jimmie's Hot Dogs;216;Albany
Locos Grill & Pub;216;Albany
Longhorn Steakhouse;216;Albany
Mikata Japanese Steakhouse;216;Albany
Shogun Japanese Steak House;216;Albany
The Catch Seafood Room & Oyster Bar;216;Albany
Villa Gargano;216;Albany
3 Squares Diner;216;Albany
Whitebull Hotel;14;Armidale
Last Resort Grill;216;Athens
Mama's Boy Restaurant;216;Athens
Sr. Sol 1;216;Athens
Choo Choo Eastside;216;Athens
The Grill;216;Athens
Big City Bread Cafe;216;Athens
Clocked;216;Athens
DePalma's Italian Cafe - Downtown;216;Athens
DePalma's Italian Cafe - East Side;216;Athens
Five & Ten;216;Athens
Grit;216;Athens
Ike & Jane;216;Athens
La Dolce Vita Ristorante;216;Athens
Shokitini;216;Athens
Taqueria Del Sol;216;Athens
The National;216;Athens
The Royal Peasant;216;Athens
Transmetropolitan;216;Athens
Trappeze Pub;216;Athens
Viva! Argentine Cuisine;216;Athens
Miyabi Kyoto Japanese Steak House;216;Augusta
Rae's Coastal Cafe;216;Augusta
The Bee's Knees;216;Augusta
Boll Weevil Cafe;216;Augusta
Farmhaus Burger;216;Augusta
Manuel's Bread Cafe;216;Augusta
Sconyers Bar B Que;216;Augusta
Frog Hollow Tavern;216;Augusta
Giuseppe's Pizza & Italian Specialities;216;Augusta
Mellow Mushroom;216;Augusta
Nacho Mamas Burritos;216;Augusta
Rhinehart's Oyster Bar;216;Augusta
Takosushi;216;Augusta
The Chop House;216;Augusta
The Taj of India;216;Augusta
Augsburg Haus;216;Augusta
Pho Bac;216;Augusta
Rhinehart's Oyster Bar;216;Augusta
Thai Kitchen;216;Augusta
El Kiosco Mexican Restaurant;216;Augusta
Taste of Balingup;14;Balingup
Bridge Road Brewers;14;Beechworth
Bardenay;216;Boise
Flatbread Neapolitan Pizzeria;216;Boise
Goldy's Breakfast Bistro;216;Boise
Chandlers Steakhouse;216;Boise
Bar Gernika Basque Pub & Eatery;216;Boise
Barbacoa Restaurant;216;Boise
Big Jud's;216;Boise
Bittercreek Ale House;216;Boise
Boise Fry Company;216;Boise
Flying Pie Pizzaria;216;Boise
Fork;216;Boise
Guido's Original New York Style Pizza;216;Boise
Los Beto's;216;Boise
Lucianos Italian Restaurant;216;Boise
Mai Thai Restaurant;216;Boise
Shige Japanese Cuisine;216;Boise
